pd        	ADNI_062_S_1091_MR_MPRAGE_br_raw_20061128145742768_98_S23031_I30717.nii.gzConfidences: 90.55,  7.77,  1.68
t2        	ADNI_002_S_1155_MR_Axial_PD_T2_FSE__br_raw_20061215204831138_1_S24143_I33392.nii.gzConfidences: 20.27,  5.10, 74.63
t2        	ADNI_116_S_0890_MR_FSE_PD_T2__br_raw_20070803133116481_95_S36892_I64544.nii.gzConfidences: 15.23, 15.34, 69.43
t2        	ADNI_136_S_1227_MR_Axial_PD_T2_FSE__br_raw_20080307103644646_87_S46739_I95609.nii.gzConfidences: 32.64, 12.43, 54.94
pd        	ADNI_011_S_0856_MR_MPRAGE_br_raw_20071001100539329_99_S40766_I76347.nii.gzConfidences: 88.35,  9.22,  2.43
pd        	ADNI_073_S_4216_MR_MPRAGE_br_raw_20111206161042652_46_S132049_I270290.nii.gzConfidences: 72.97, 25.47,  1.56
pd        	ADNI_068_S_4274_MR_MPRAGE_br_raw_20121212162945749_121_S177356_I351045.nii.gzConfidences: 81.08, 13.01,  5.91
t2        	ADNI_053_S_0621_MR_Axial_PD_T2_FSE__br_raw_20070709085808750_1_S34520_I58750.nii.gzConfidences: 15.74, 14.74, 69.52
pd        	ADNI_135_S_4954_MR_MPRAGE_br_raw_20130415123724907_29_S186942_I367180.nii.gzConfidences: 69.80, 26.13,  4.07
t2        	ADNI_021_S_0273_MR_Axial_PD_T2_FSE__br_raw_20061006163416913_55_S19836_I25928.nii.gzConfidences: 11.00,  6.81, 82.19
pd        	ADNI_035_S_4256_MR_MPRAGE_br_raw_20121024163153247_91_S172021_I342094.nii.gzConfidences: 71.51, 22.48,  6.01
t2        	ADNI_021_S_0231_MR_Axial_PD_T2_FSE__br_raw_20080905095630218_47_S56215_I117481.nii.gzConfidences: 23.26,  6.04, 70.70
t2        	ADNI_021_S_0753_MR_Axial_PD_T2_FSE__br_raw_20070315133959498_5_S28162_I44824.nii.gzConfidences: 21.74,  5.81, 72.46
pd        	ADNI_067_S_4072_MR_MPRAGE_br_raw_20120713115342682_118_S157550_I316253.nii.gzConfidences: 62.28, 19.79, 17.93
pd        	ADNI_130_S_4468_MR_MPRAGE_br_raw_20140305155547931_17_S213646_I416048.nii.gzConfidences: 49.90, 24.88, 25.22
pd        	ADNI_072_S_4063_MR_MPRAGE_br_raw_20110920082145252_150_S122745_I257004.nii.gzConfidences: 76.34, 17.56,  6.10
t1        	ADNI_052_S_4945_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20130419125154531_21_S187395_I367931.nii.gzConfidences: 31.95, 37.32, 30.73
pd        	ADNI_041_S_4271_MR_MPRAGE_br_raw_20120124134836730_105_S138269_I280272.nii.gzConfidences: 69.65, 29.49,  0.86
pd        	ADNI_022_S_5004_MR_MPRAGE_br_raw_20121108162818727_90_S173866_I345640.nii.gzConfidences: 70.41, 27.02,  2.57
t1        	ADNI_099_S_2146_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20141003143054818_41_S232606_I446021.nii.gzConfidences: 38.18, 41.66, 20.15
t2        	ADNI_136_S_0429_MR_Axial_PD_T2_FSE__br_raw_20061219111059851_1_S24230_I33682.nii.gzConfidences: 37.13,  4.14, 58.74
pd        	ADNI_072_S_2116_MR_MPRAGE_br_raw_20121108124622321_48_S173767_I345514.nii.gzConfidences: 80.81, 18.51,  0.68
t2        	ADNI_014_S_0357_MR_Axial_PD_T2_FSE__br_raw_20060405163858626_1_S12822_I12961.nii.gzConfidences: 20.10, 15.69, 64.21
t2        	ADNI_109_S_4594_MR_AXIAL_T2-FSE_WITH_FAT_SAT__br_raw_20140519142312980_6_S218843_I425142.nii.gzConfidences: 30.28, 32.38, 37.34
pd        	ADNI_073_S_4216_MR_MPRAGE_br_raw_20120917123801846_48_S167684_I334645.nii.gzConfidences: 78.53, 20.04,  1.43
t2        	ADNI_053_S_0621_MR_Axial_PD_T2_FSE__br_raw_20080619094323890_1_S51871_I110156.nii.gzConfidences: 24.66, 13.94, 61.40
t2        	ADNI_033_S_0511_MR_Axial_PD_T2_FSE__br_raw_20080609133218242_1_S51222_I108827.nii.gzConfidences: 30.75,  9.46, 59.79
pd        	ADNI_128_S_4571_MR_MPRAGE_br_raw_20120310102847847_95_S143575_I289722.nii.gzConfidences: 76.22, 17.65,  6.13
pd        	ADNI_067_S_2304_MR_MPRAGE_br_raw_20110524104409504_162_S109716_I236800.nii.gzConfidences: 61.29, 37.00,  1.72
t2        	ADNI_033_S_1283_MR_Axial_PD_T2_FSE__br_raw_20070821090038893_1_S37911_I69315.nii.gzConfidences: 24.61,  6.59, 68.80
t2        	ADNI_053_S_0919_MR_Axial_PD_T2_FSE__br_raw_20061019154812933_1_S20421_I26737.nii.gzConfidences: 34.85,  5.50, 59.66
t2        	ADNI_033_S_1279_MR_Axial_PD_T2_FSE__br_raw_20080904153816034_1_S56207_I117468.nii.gzConfidences: 27.07, 15.85, 57.08
t2        	ADNI_127_S_0259_MR_Axial_PD_T2_FSE__br_raw_20060313164606935_1_S12134_I11885.nii.gzConfidences: 28.98,  4.92, 66.10
pd        	ADNI_032_S_0147_MR____________mprage__br_raw_20070221182552162_1_S26881_I41232.nii.gzConfidences: 67.79, 17.09, 15.13
pd        	ADNI_023_S_4502_MR_MPRAGE_br_raw_20140425164243094_117_S217095_I421770.nii.gzConfidences: 81.72, 17.73,  0.55
pd        	ADNI_128_S_4745_MR_MPRAGE_br_raw_20121105140727127_5_S173295_I343980.nii.gzConfidences: 70.86, 25.29,  3.85
pd        	ADNI_041_S_4989_MR_MPRAGE_br_raw_20141112084239671_1_S236494_I453212.nii.gzConfidences: 49.00, 36.27, 14.73
t2        	ADNI_033_S_0513_MR_Axial_PD_T2_FSE__br_raw_20070606103049227_1_S33068_I56076.nii.gzConfidences: 22.47,  7.00, 70.53
t2        	ADNI_002_S_0954_MR_Axial_PD_T2_FSE__br_raw_20061011164601307_1_S19977_I26137.nii.gzConfidences: 38.72, 12.57, 48.72
pd        	ADNI_010_S_0422_MR_MPRAGE_br_raw_20061130151217604_50_S23186_I31015.nii.gzConfidences: 72.74,  8.07, 19.19
pd        	ADNI_032_S_5289_MR_MPRAGE_br_raw_20140519150002278_159_S218815_I425106.nii.gzConfidences: 70.66, 24.91,  4.43
t2        	ADNI_136_S_0579_MR_Axial_PD_T2_FSE__br_raw_20080121155143019_1_S44766_I87954.nii.gzConfidences: 31.97,  2.52, 65.51
pd        	ADNI_128_S_4607_MR_MPRAGE_br_raw_20120326110850912_176_S144704_I293375.nii.gzConfidences: 62.51, 30.23,  7.26
pd        	ADNI_072_S_2027_MR_MPRAGE_br_raw_20120809154153691_149_S160419_I322985.nii.gzConfidences: 66.89, 29.41,  3.70
t2        	ADNI_126_S_2360_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20130529140001459_6_S190885_I374389.nii.gzConfidences: 26.07, 32.85, 41.08
pd        	ADNI_002_S_2073_MR_MPRAGE_br_raw_20110309121608151_65_S101317_I223325.nii.gzConfidences: 67.93, 16.74, 15.33
t2        	ADNI_052_S_0989_MR_Axial_PD_T2_FSE__br_raw_20081222152731500_19_S61080_I132117.nii.gzConfidences: 26.12,  9.60, 64.28
t2        	ADNI_002_S_0729_MR_Axial_PD_T2_FSE__br_raw_20060718015629956_27_S16873_I19056.nii.gzConfidences: 27.03, 18.19, 54.78
pd        	ADNI_014_S_4079_MR_MPRAGE_br_raw_20110922132000457_26_S123018_I257454.nii.gzConfidences: 73.90, 24.45,  1.65
t2        	ADNI_033_S_1279_MR_Axial_PD_T2_FSE__br_raw_20090302170342091_1_S63786_I137465.nii.gzConfidences: 25.80, 12.94, 61.26
t2        	ADNI_098_S_0269_MR_Axial_PD_T2_FSE__br_raw_20090407172942754_1_S65764_I140916.nii.gzConfidences: 22.16,  5.62, 72.21
t2        	ADNI_033_S_0733_MR_Axial_PD_T2_FSE__br_raw_20070216092210125_1_S26586_I40523.nii.gzConfidences: 22.90, 14.07, 63.03
t1        	ADNI_029_S_5166_MR_Axial_T2-FSE_with_Fat_Sat__br_raw_20130523112708966_15_S190404_I373668.nii.gzConfidences: 36.94, 46.46, 16.60
t2        	ADNI_009_S_1030_MR_Axial_PD_T2_FSE__br_raw_20091109172927611_1_S75992_I158469.nii.gzConfidences: 15.72,  6.41, 77.88
pd        	ADNI_013_S_4236_MR_MPRAGE_br_raw_20111017153716788_164_S125458_I261159.nii.gzConfidences: 71.67, 22.63,  5.70
t2        	ADNI_136_S_0429_MR_Axial_PD_T2_FSE__br_raw_20090714145531016_1_S69983_I148976.nii.gzConfidences: 28.74,  5.58, 65.67
t2        	ADNI_027_S_2245_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20150115153821244_1_S245041_I468520.nii.gzConfidences: 24.70, 33.32, 41.99
pd        	ADNI_041_S_4989_MR_MPRAGE_br_raw_20130426141247007_128_S188080_I368911.nii.gzConfidences: 51.68, 24.48, 23.84
pd        	ADNI_114_S_2392_MR_MPRAGE_br_raw_20111203142405552_171_S131684_I269730.nii.gzConfidences: 66.58, 26.57,  6.85
t2        	ADNI_037_S_0588_MR_FSE_PD_T2__br_raw_20080617160208137_1_S51716_I109830.nii.gzConfidences:  9.42,  1.25, 89.32
pd        	ADNI_031_S_4194_MR_MPRAGE_br_raw_20110914155156945_86_S121594_I255288.nii.gzConfidences: 63.05, 18.27, 18.67
pd        	ADNI_053_S_0507_MR_MPRAGE_br_raw_20070611125404562_86_S33392_I56651.nii.gzConfidences: 59.07, 40.86,  0.07
pd        	ADNI_068_S_2187_MR_MPRAGE_br_raw_20150501101706491_29_S257096_I488922.nii.gzConfidences: 64.46, 21.68, 13.86
pd        	ADNI_123_S_2363_MR_MPRAGE_br_raw_20111214151106378_74_S130016_I267386.nii.gzConfidences: 71.65, 14.82, 13.53
pd        	ADNI_009_S_4741_MR_MPRAGE_br_raw_20121016110224596_65_S170966_I340266.nii.gzConfidences: 70.10, 29.76,  0.14
t2        	ADNI_137_S_0669_MR_Axial_PD_T2_FSE__br_raw_20070226123125878_1_S27109_I41613.nii.gzConfidences: 18.89,  6.50, 74.61
pd        	ADNI_067_S_4072_MR_MPRAGE_br_raw_20111012111441107_124_S125141_I260667.nii.gzConfidences: 72.04, 19.10,  8.86
t2        	ADNI_021_S_0231_MR_Axial_PD_T2_FSE__br_20060228112527280_21_S11836_I11432.nii.gzConfidences: 12.14,  0.85, 87.01
pd        	ADNI_116_S_4199_MR_MPRAGE_br_raw_20120907150051458_49_S166547_I332363.nii.gzConfidences: 76.08, 20.17,  3.74
t2        	ADNI_029_S_1073_MR_Axial_PD_T2_FSE__br_raw_20080505110222765_5_S49626_I104612.nii.gzConfidences: 24.32, 10.98, 64.71
t2        	ADNI_131_S_0691_MR_Axial_PD_T2_FSE__br_raw_20070209130133542_1_S26206_I38874.nii.gzConfidences: 28.10,  5.52, 66.38
pd        	ADNI_009_S_4741_MR_MPRAGE_br_raw_20140715152207152_93_S225135_I435699.nii.gzConfidences: 77.82, 21.66,  0.53
t2        	ADNI_052_S_0989_MR_Axial_PD_T2_FSE_rpt__br_raw_20110118122947449_97_S97708_I212865.nii.gzConfidences: 22.63,  7.33, 70.04
pd        	ADNI_022_S_2263_MR_MPRAGE_br_raw_20110119164955291_140_S97943_I213362.nii.gzConfidences: 78.66, 19.70,  1.63
t2        	ADNI_137_S_0669_MR_Axial_PD_T2_FSE__br_raw_20060721145033592_1_S17102_I19421.nii.gzConfidences: 14.06,  4.83, 81.12
pd        	ADNI_016_S_0769_MR_MPRAGE_br_raw_20140707164802278_135_S224362_I434606.nii.gzConfidences: 92.32,  4.53,  3.15
t2        	ADNI_033_S_1283_MR_Axial_PD_T2_FSE__br_raw_20080313154325368_1_S47017_I97384.nii.gzConfidences: 23.36, 12.73, 63.91
pd        	ADNI_041_S_4143_MR_MPRAGE_br_raw_20111123151208864_12_S130724_I268469.nii.gzConfidences: 73.42, 26.38,  0.20
pd        	ADNI_116_S_4195_MR_MPRAGE_br_raw_20111209224904843_90_S132574_I271074.nii.gzConfidences: 75.20, 20.83,  3.97
t2        	ADNI_037_S_1078_MR_FSE_PD_T2__br_raw_20061130140125065_1_S23177_I30958.nii.gzConfidences: 22.48,  8.96, 68.56
pd        	ADNI_114_S_0410_MR_MPRAGE_br_raw_20061130160926018_98_S23195_I31047.nii.gzConfidences: 64.74, 13.83, 21.43
pd        	ADNI_067_S_2304_MR_MPRAGE_br_raw_20110914114539755_156_S122008_I255956.nii.gzConfidences: 75.53, 19.17,  5.30
pd        	ADNI_035_S_4114_MR_MPRAGE_br_raw_20111109174341908_153_S128616_I265609.nii.gzConfidences: 77.38, 15.14,  7.49
t2        	ADNI_136_S_0300_MR_Axial_PD_T2_FSE__br_raw_20061116163848262_1_S22630_I29958.nii.gzConfidences: 21.93,  6.95, 71.12
t2        	ADNI_027_S_0485_MR_Axial_PD_T2_FSE__br_raw_20071106160144501_1_S42308_I80990.nii.gzConfidences: 33.94,  6.88, 59.18
pd        	ADNI_073_S_4259_MR_MPRAGE_br_raw_20120521152237230_12_S151184_I305665.nii.gzConfidences: 70.08, 24.71,  5.21
pd        	ADNI_003_S_1057_MR_MPRAGE_br_raw_20061204130020875_98_S23345_I31613.nii.gzConfidences: 80.71, 13.10,  6.18
pd        	ADNI_067_S_4310_MR_MPRAGE_br_raw_20131111134750864_24_S205916_I397980.nii.gzConfidences: 67.19, 30.63,  2.18
pd        	ADNI_020_S_1288_MR_MPRAGE_br_raw_20071013141157140_64_S41459_I77743.nii.gzConfidences: 76.95,  8.59, 14.45
pd        	ADNI_009_S_4741_MR_MPRAGE_br_raw_20130725144644450_14_S196458_I382492.nii.gzConfidences: 70.89, 28.74,  0.37
pd        	ADNI_137_S_4623_MR_MPRAGE_br_raw_20140509083759509_144_S218195_I424164.nii.gzConfidences: 71.06, 14.96, 13.98
pd        	ADNI_016_S_1121_MR_MPRAGE_br_raw_20081231103019656_106_S61188_I132477.nii.gzConfidences: 82.91, 16.80,  0.29
t1        	ADNI_016_S_0769_MR_t2_fse_ax_fs_br_raw_20060828100817013_1_S18295_I23427.nii.gzConfidences: 21.93, 66.39, 11.68
pd        	ADNI_068_S_2187_MR_MPRAGE_br_raw_20111228110618585_165_S134991_I274620.nii.gzConfidences: 66.47, 17.00, 16.53
t2        	ADNI_136_S_0107_MR_Axial_PD_T2_FSE__br_raw_20060830120105500_1_S18342_I23501.nii.gzConfidences: 37.28, 18.68, 44.04
pd        	ADNI_067_S_4184_MR_MPRAGE_br_raw_20110908150619275_63_S121507_I255147.nii.gzConfidences: 55.94, 37.16,  6.91
t2        	ADNI_136_S_1227_MR_Axial_PD_T2_FSE__br_raw_20080930153046332_1_S56835_I118610.nii.gzConfidences: 25.72, 11.40, 62.89
t2        	ADNI_029_S_0871_MR_Axial_PD_T2_FSE__br_raw_20061219112501781_1_S24245_I33716.nii.gzConfidences: 27.99,  7.92, 64.09
t2        	ADNI_033_S_0922_MR_Axial_PD_T2_FSE__br_raw_20071016100150194_11_S41527_I77849.nii.gzConfidences: 33.90,  6.59, 59.50
pd        	ADNI_012_S_4094_MR_MPRAGE_br_raw_20120726125816538_1_S158645_I318776.nii.gzConfidences: 61.09, 33.75,  5.16
pd        	ADNI_036_S_4715_MR_MPRAGE_br_raw_20140603131118144_94_S221458_I429594.nii.gzConfidences: 70.27, 25.16,  4.57
pd        	ADNI_041_S_4271_MR_MPRAGE_br_raw_20111011124558005_3_S125033_I260502.nii.gzConfidences: 75.73, 22.58,  1.69
pd        	ADNI_035_S_2074_MR_MPRAGE_br_raw_20111130103701943_109_S131335_I269243.nii.gzConfidences: 74.31, 23.19,  2.50
pd        	ADNI_116_S_2270_MR_MPRAGE_br_raw_20110125143757064_32_S98152_I214100.nii.gzConfidences: 71.69, 20.29,  8.02
t1        	ADNI_129_S_4371_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20131126135541926_33_S206827_I399643.nii.gzConfidences: 33.88, 34.90, 31.22
pd        	ADNI_072_S_4941_MR_MPRAGE_br_raw_20130416132850708_35_S187082_I367383.nii.gzConfidences: 80.74, 17.49,  1.78
pd        	ADNI_016_S_1121_MR_MPRAGE_br_raw_20071217104051361_98_S43926_I85146.nii.gzConfidences: 88.59,  3.22,  8.19
pd        	ADNI_037_S_4706_MR_MPRAGE_br_raw_20121105131930553_152_S173236_I343897.nii.gzConfidences: 79.52, 13.31,  7.17
pd        	ADNI_072_S_4063_MR_MPRAGE_br_raw_20111220125557143_19_S134032_I273334.nii.gzConfidences: 77.50, 17.81,  4.69
pd        	ADNI_067_S_0029_MR_MPRAGE_br_raw_20051014123219304_63_S9905_I8023.nii.gzConfidences: 82.53,  6.79, 10.67
t2        	ADNI_133_S_0488_MR_Axial_PD_T2_FSE__br_raw_20060517180448528_1_S14607_I15517.nii.gzConfidences: 34.40,  2.76, 62.84
pd        	ADNI_130_S_4982_MR_MPRAGE_br_raw_20131025160825614_168_S204906_I395985.nii.gzConfidences: 77.96, 18.82,  3.22
t2        	ADNI_029_S_1073_MR_Axial_PD_T2_FSE__br_raw_20100114163531511_5_S78482_I163763.nii.gzConfidences: 26.12, 13.11, 60.76
t2        	ADNI_002_S_1155_MR_Axial_PD_T2_FSE__br_raw_20080821235500628_1_S55662_I116610.nii.gzConfidences: 17.79,  7.59, 74.62
t2        	ADNI_053_S_0507_MR_Axial_PD_T2_FSE__br_raw_20090521121231843_1_S67535_I144311.nii.gzConfidences: 23.32,  7.43, 69.25
pd        	ADNI_041_S_1412_MR_MPRAGE_br_raw_20080212172548859_98_S45602_I90253.nii.gzConfidences: 87.39,  7.13,  5.48
t2        	ADNI_052_S_0671_MR_Axial_PD_T2_FSE__br_raw_20070119145941059_1_S25299_I36831.nii.gzConfidences: 20.09,  5.12, 74.80
pd        	ADNI_031_S_4194_MR_MPRAGE_br_raw_20121005122635304_54_S169783_I338321.nii.gzConfidences: 50.46, 26.91, 22.63
pd        	ADNI_031_S_4042_MR_MPRAGE_br_raw_20110823125732465_109_S119942_I252280.nii.gzConfidences: 67.54, 12.05, 20.41
t2        	ADNI_027_S_0256_MR_Axial_PD_T2_FSE__br_raw_20060322111353004_1_S12356_I12249.nii.gzConfidences: 34.55,  4.13, 61.32
t2        	ADNI_128_S_0272_MR_FSE_PD_T2__br_raw_20060322195021705_1_S12392_I12310.nii.gzConfidences: 12.17, 13.86, 73.96
pd        	ADNI_041_S_0679_MR_MPRAGE_br_raw_20060721094712221_98_S17077_I19378.nii.gzConfidences: 83.52,  5.88, 10.60
pd        	ADNI_022_S_2263_MR_MPRAGE_br_raw_20110427091055614_132_S105274_I229155.nii.gzConfidences: 77.35, 19.87,  2.79
t1        	ADNI_021_S_5099_MR_Axial_T2-FSE_with_Fat_Sat__br_raw_20130304151953396_7_S183589_I361896.nii.gzConfidences: 29.94, 38.97, 31.09
t2        	ADNI_126_S_0606_MR_Axial_PD_T2_FSE__br_raw_20060814140706303_1_S17815_I20486.nii.gzConfidences: 15.69,  8.98, 75.33
pd        	ADNI_068_S_4061_MR_MPRAGE_br_raw_20110608102033113_57_S111003_I239367.nii.gzConfidences: 61.60, 31.55,  6.85
t2        	ADNI_033_S_0906_MR_Axial_PD_T2_FSE__br_raw_20091002155933835_51_S74385_I155982.nii.gzConfidences: 43.31,  7.66, 49.03
pd        	ADNI_128_S_2123_MR_MPRAGE_br_raw_20111221103432368_88_S134342_I273742.nii.gzConfidences: 74.40, 22.08,  3.52
pd        	ADNI_073_S_4259_MR_MPRAGE_br_raw_20120127133139195_86_S138743_I281109.nii.gzConfidences: 62.81, 34.27,  2.92
pd        	ADNI_035_S_4414_MR_MPRAGE_br_raw_20140410162342020_60_S215029_I418166.nii.gzConfidences: 64.63, 33.46,  1.92
pd        	ADNI_073_S_4216_MR_MPRAGE_br_raw_20151009150414371_94_S284190_I524274.nii.gzConfidences: 83.39, 13.08,  3.53
t2        	ADNI_021_S_0231_MR_Axial_PD_T2_FSE__br_raw_20070920100518863_35_S39501_I73824.nii.gzConfidences: 23.98,  8.71, 67.31
pd        	ADNI_041_S_4513_MR_MPRAGE_br_raw_20120905161103039_109_S166286_I330743.nii.gzConfidences: 72.92, 26.59,  0.49
pd        	ADNI_014_S_4039_MR_MPRAGE_br_raw_20110915211509403_74_S122237_I256321.nii.gzConfidences: 77.49, 22.18,  0.33
t2        	ADNI_033_S_0922_MR_Axial_PD_T2_FSE__br_raw_20081015134211722_1_S57455_I121024.nii.gzConfidences: 27.12, 12.91, 59.97
t2        	ADNI_007_S_4467_MR_Axial_T2-FSE_with_FAT_SAT__br_raw_20140204101256208_39_S211809_I412525.nii.gzConfidences: 11.86, 21.88, 66.25
t2        	ADNI_126_S_2407_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20131126155427600_35_S206838_I399658.nii.gzConfidences: 32.71, 32.84, 34.45
pd        	ADNI_013_S_2324_MR_MPRAGE_br_raw_20110328152402908_29_S102467_I225055.nii.gzConfidences: 55.77, 19.28, 24.95
pd        	ADNI_012_S_4094_MR_MPRAGE_br_raw_20130722105656502_1_S195955_I381845.nii.gzConfidences: 50.02, 42.01,  7.96
pd        	ADNI_037_S_4146_MR_MPRAGE_br_raw_20111208102756157_80_S132129_I270444.nii.gzConfidences: 64.53, 29.82,  5.65
pd        	ADNI_041_S_4874_MR_MPRAGE_br_raw_20130820114620886_36_S198247_I386092.nii.gzConfidences: 58.80, 28.76, 12.45
pd        	ADNI_068_S_2187_MR_MPRAGE_br_raw_20110627132011728_88_S112609_I241819.nii.gzConfidences: 69.06, 22.05,  8.89
t2        	ADNI_027_S_0485_MR_Axial_PD_T2_FSE__br_raw_20061121094750482_1_S22731_I30209.nii.gzConfidences: 21.10,  5.13, 73.77
t2        	ADNI_127_S_0754_MR_Axial_PD_T2_FSE__br_raw_20081007110227798_1_S57020_I119423.nii.gzConfidences: 21.58,  9.65, 68.77
pd        	ADNI_072_S_4941_MR_MPRAGE_br_raw_20121011131217973_33_S170468_I339522.nii.gzConfidences: 70.44, 26.91,  2.65
pd        	ADNI_135_S_5269_MR_MPRAGE_br_raw_20130726163709209_1_S196646_I382724.nii.gzConfidences: 64.53, 26.37,  9.10
pd        	ADNI_035_S_2074_MR_MPRAGE_br_raw_20110621115348005_18_S112173_I241086.nii.gzConfidences: 73.07, 22.63,  4.30
t2        	ADNI_031_S_0351_MR_FSE_PD_T2__br_raw_20080422114039161_1_S49088_I103447.nii.gzConfidences: 16.38,  5.56, 78.05
t2        	ADNI_029_S_4585_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20140618171821660_13_S222593_I431558.nii.gzConfidences: 30.82, 19.11, 50.07
t2        	ADNI_037_S_0588_MR_FSE_PD_T2__br_raw_20071214161204654_1_S43875_I85061.nii.gzConfidences: 10.76,  3.73, 85.50
t2        	ADNI_029_S_1073_MR_Axial_PD_T2_FSE__br_raw_20081209105639382_95_S60651_I129685.nii.gzConfidences: 29.44, 13.62, 56.95
pd        	ADNI_011_S_0856_MR_MPRAGE_br_raw_20070330083435364_1_S29108_I47529.nii.gzConfidences: 92.06,  5.07,  2.87
pd        	ADNI_037_S_4146_MR_MPRAGE_br_raw_20120322084148267_143_S144461_I291608.nii.gzConfidences: 68.20, 24.68,  7.12
pd        	ADNI_116_S_4625_MR_MPRAGE_br_raw_20120629120631998_83_S156026_I313538.nii.gzConfidences: 68.03, 30.77,  1.21
pd        	ADNI_133_S_0913_MR_MPRAGE_br_raw_20070118145021179_1_S25233_I36702.nii.gzConfidences: 63.59, 34.74,  1.67
t2        	ADNI_052_S_0671_MR_Axial_PD_T2_FSE__br_raw_20080907142308562_1_S56262_I117577.nii.gzConfidences: 32.53,  6.34, 61.12
pd        	ADNI_041_S_4513_MR_MPRAGE_br_raw_20140228145111315_131_S213484_I415651.nii.gzConfidences: 68.41, 31.03,  0.56
t2        	ADNI_133_S_0727_MR_Axial_PD_T2_FSE__br_raw_20060907170950885_1_S18618_I23938.nii.gzConfidences: 34.21,  7.09, 58.70
t2        	ADNI_033_S_0511_MR_Axial_PD_T2_FSE__br_raw_20061208144101881_1_S23682_I32338.nii.gzConfidences: 23.25,  5.22, 71.53
t2        	ADNI_127_S_1427_MR_Axial_PD_T2_FSE__br_raw_20080221185046344_19_S46019_I91509.nii.gzConfidences: 32.41, 15.76, 51.83
t2        	ADNI_052_S_0989_MR_Axial_PD_T2_FSE__br_raw_20100222163531281_49_S80359_I166657.nii.gzConfidences: 13.40, 11.96, 74.64
pd        	ADNI_035_S_4114_MR_MPRAGE_br_raw_20120127181302450_44_S138765_I281162.nii.gzConfidences: 74.86, 19.34,  5.80
t2        	ADNI_007_S_0128_MR_Axial_PD_T2_FSE__br_raw_20060815202411132_9_S17901_I20614.nii.gzConfidences: 20.43,  9.37, 70.21
pd        	ADNI_109_S_1343_MR_MPRAGE_br_raw_20070323134029069_1_S28820_I46508.nii.gzConfidences: 92.63,  5.26,  2.11
t2        	ADNI_098_S_0667_MR_Axial_PD_T2_FSE__br_raw_20080124175427472_1_S44890_I88497.nii.gzConfidences: 25.61,  3.95, 70.44
t2        	ADNI_136_S_0579_MR_Axial_PD_T2_FSE__br_raw_20070110084231079_1_S24876_I35683.nii.gzConfidences: 34.39,  7.57, 58.05
t2        	ADNI_094_S_1164_MR_Axial_PD_T2_FSE__br_raw_20061212153254479_1_S23870_I32805.nii.gzConfidences: 37.79,  9.81, 52.40
pd        	ADNI_041_S_4271_MR_MPRAGE_br_raw_20120426145658630_93_S148400_I300650.nii.gzConfidences: 83.69, 15.57,  0.74
pd        	ADNI_116_S_4625_MR_MPRAGE_br_raw_20120405131840016_174_S146475_I296138.nii.gzConfidences: 77.39, 20.12,  2.50
t1        	ADNI_094_S_4434_MR_Axial_T2-FSE_with_FAT_SAT__br_raw_20140311151051088_17_S213881_I416445.nii.gzConfidences: 38.06, 50.51, 11.43
t2        	ADNI_137_S_0722_MR_Axial_PD_T2_FSE__br_raw_20060726153256443_1_S17296_I19708.nii.gzConfidences: 21.30,  6.22, 72.48
t2        	ADNI_094_S_1417_MR_Axial__STRAIGHT__PD_T2_FSE_br_raw_20070716154519890_1_S35041_I60173.nii.gzConfidences: 22.49, 13.44, 64.07
t2        	ADNI_052_S_0671_MR_Axial_PD_T2_FSE__br_raw_20070704162918999_1_S34388_I58494.nii.gzConfidences: 25.21, 13.87, 60.92
pd        	ADNI_037_S_4432_MR_MPRAGE_br_raw_20120201145342324_113_S139251_I282045.nii.gzConfidences: 75.52, 16.26,  8.21
pd        	ADNI_023_S_4448_MR_MPRAGE_br_raw_20120820151958883_125_S161685_I324988.nii.gzConfidences: 69.21, 22.14,  8.65
pd        	ADNI_036_S_0672_MR_MPRAGE_br_raw_20070212141047354_1_S26330_I39398.nii.gzConfidences: 63.57, 16.02, 20.40
t1        	ADNI_127_S_5132_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20130725175823755_33_S196527_I382580.nii.gzConfidences: 41.00, 45.65, 13.34
pd        	ADNI_037_S_2103_MR_MPRAGE_br_raw_20101020155808724_40_S93523_I197858.nii.gzConfidences: 68.24, 23.03,  8.72
pd        	ADNI_016_S_1121_MR_MPRAGE_br_raw_20070724154216724_139_S36294_I62010.nii.gzConfidences: 89.60,  5.12,  5.28
t2        	ADNI_130_S_0285_MR_Axial_PD_T2_FSE__br_raw_20100416163114669_95_S83435_I171250.nii.gzConfidences: 31.99,  4.40, 63.61
t2        	ADNI_137_S_0443_MR_Axial_PD_T2_FSE__br_raw_20070301143224569_1_S27312_I42096.nii.gzConfidences: 21.44,  5.55, 73.00
t2        	ADNI_053_S_0621_MR_Axial_PD_T2_FSE__br_raw_20090622123356531_1_S69083_I146579.nii.gzConfidences: 13.73, 13.21, 73.06
